Re,D,U,r,theta,V_norm
1330.96,4.44,1.53,33.1,2.8336,0.9908
3329.49,3.89,1.57,30.94,0.633,0.964
1592.97,1.27,1.33,3.05,4.4455,1.2047
2624.34,3.83,1.91,22.23,0.1959,0.9938
2756.22,3.17,2.63,26.74,5.4676,1.0278
965.03,1.33,1,12.55,0.8712,1.0021
4849.44,2.83,2.84,16.62,0.7999,0.9326
3886.91,2.94,2.22,28.15,1.1038,1.0445
4700.52,1.66,2.56,10.07,6.0335,0.9634
4479.4,4.78,1.89,23.2,4.3553,0.9702
3009.6,4.4,2.45,38.32,5.0352,1.0513
4613.28,3.68,0.54,20.92,2.4984,1.0886
488.04,2.85,2.55,15.7,2.1131,1.0156
1020.12,2.65,0.6,15,1.4733,1.0526
273.88,3.6,2.72,31.35,3.02,0.9874
1660.39,3.18,2.98,27.27,3.4672,0.9829
1973.95,1.25,1.24,6.16,3.9696,0.9919
1393.18,3.05,1.03,13.22,1.6155,1.0759
4152.25,4.23,2.41,24.01,5.9606,0.943
1815.93,2.84,1.13,18.07,1.0666,1.0267
1440.63,1.21,2.66,4.26,6.0674,0.9195
2736.35,4.15,0.76,34.19,0.0933,0.973
747.57,1.81,0.81,10.17,3.023,0.9771
4020.88,2.03,2.95,8.83,2.0946,1.0123
419.03,1.66,2.18,3.99,2.8219,0.8391
4935.09,2.32,2.62,8.19,3.5856,1.0073
3872.61,4.03,1.31,38.53,2.7369,1.0544
1033.64,3.08,2.19,12.6,2.6066,0.9794
77.33,1.82,1.99,5.34,4.6038,1.2668
4086.53,4.51,2.01,24.43,4.3095,1.003
3548.94,4.52,2.21,18.57,5.2356,1.0337
3658.59,4.48,1.94,8.06,1.5705,1.3157
3867.79,1.96,1.57,8.3,3.8298,0.9526
416.52,2.8,1.19,17.18,3.6769,0.9905
1824.41,4.94,2.42,30.58,2.3231,1.0036
623.55,4.09,1.07,18.52,3.054,0.9414
4322.36,1.11,2.23,5.88,1.9716,0.9849
3135.33,1.26,1.08,12.24,0.8912,0.9865
1687.95,2.86,2.06,13.44,1.3434,1.0395
364.61,4.64,2.37,17.13,0.663,0.9917
1589.36,3.15,1.05,11.26,4.2919,1.0577
1659.66,2.99,0.65,16.13,4.1515,1.0015
3661.55,1.42,0.83,11.31,5.9728,0.9953
3205.91,3.63,2.01,11.79,4.5847,1.0805
4441.7,4.29,2.62,32.29,0.327,1.0005
2387.46,2.52,0.61,4.24,5.5559,0.953
641.99,4.1,2.34,20.76,5.4203,1.0145
3580.56,4.86,1.35,39.32,2.7855,0.9876
3815.89,1.82,1.7,7.95,3.6811,1.039
2828.32,3.09,2.82,19.46,6.1329,1.0016
3866.29,2.15,1.33,6.97,3.3446,0.886
2494.29,4.17,1.66,32.57,5.6883,1.0491
2637.53,3.31,0.53,6.44,0.5217,0.8614
2166.33,3.54,0.7,30.95,1.2004,0.9916
175.82,4.19,1.15,13.35,2.7693,0.9328
584.06,2.58,0.57,23.08,3.6741,1.0061
205.57,4.66,2.08,20.96,5.1285,1.0339
3200.23,3.13,1.57,23.94,6.2094,0.967
1606.06,1.63,1.87,6.88,2.4432,0.989
2567.42,3.78,0.94,34.81,0.2979,1.0086
4542.45,4.17,1.24,10.75,5.0339,1.1832
1284,2.27,2.16,6.84,3.7974,0.985
2081.4,4.43,2.91,25.2,1.2475,1.0269
3789.98,4.62,0.63,10.16,3.1091,0.85
1182.55,2.11,2.73,6.67,4.6641,1.0957
431.05,4.93,1.94,46.98,4.8406,1.0151
1484.27,1.56,1.91,15.32,3.1392,0.9853
848.05,1.81,1.75,8.49,1.9177,1.0389
4652,1.74,0.67,16.24,6.1182,0.9839
4050.2,4.58,0.72,28.06,4.168,1.0103
3185.35,3.62,2,13.72,2.565,0.9619
4363.73,1.61,1.35,12.02,1.7622,1.0753
4028.18,2.76,2.79,19.61,4.5937,0.9898
973.52,3.46,1.52,34.29,1.5217,1.0029
4468.17,1.33,0.86,5.01,1.0789,1.1358
2719.74,4.53,2.29,32.67,3.329,1.0087
4046.83,4.21,1.23,8.19,1.822,1.1393
4485.65,3.02,1.81,7.45,3.9515,0.9973
1624.12,4.87,2.24,7.46,0.741,0.8719
594.76,2.67,2.75,26.7,4.1151,0.9981
1178.28,4.94,2.48,41.07,1.78,0.9762
2164.18,3.67,2.19,30.06,0.0015,0.9821
4099.17,3.54,2.2,20.64,0.7976,0.9543
4310.62,1.66,2.86,6.74,5.8661,0.9627
84.41,4.53,1.24,12.61,5.4497,1.1228
2578.2,2.71,0.5,10.62,1.4678,1.0659
2116.18,1.65,1.18,7.74,4.8907,1.0338
1149.43,1.05,1.04,8.33,3.8238,1.0141
643.33,3.24,2.15,19.72,6.1004,0.9839
1721.2,3.11,2.08,6.71,2.3474,1.0203
4717.4,3.88,1.98,6.41,4.2817,1.2552
1649.85,4.56,0.54,10.81,0.3992,0.9022
2618.01,1.32,2.32,6.57,2.4897,0.9495
3529.94,3.93,1.31,37.03,6.0558,0.9404
1849.97,1.75,2.16,12.1,3.3865,0.9801
4860.32,4.43,1.89,36.86,1.8088,1.1224
4814.11,4.28,1.36,23.37,0.7557,0.9888
1296.32,3.16,0.84,14.47,4.4204,1.0378
2511.38,3.84,0.74,9.3,4.0518,1.0291
1539.35,2.26,2.58,20.19,2.3495,1.0148
1459.96,2.88,2.8,23.53,5.9749,1.0017
232.59,4.29,2.12,12.56,0.1395,0.8755
3067.34,2.84,0.76,16.61,1.9084,1.0036
2538.26,2.43,1.51,13.72,5.7873,0.9652
304.82,2.98,2.32,20.28,2.0165,1.0097
1429.3,4.31,2.45,41.16,1.585,1.0122
4545.92,2.34,0.8,15.05,3.3566,0.9289
1235.83,1.7,0.5,10.33,5.1761,1.0018
767.23,3.85,2.28,7.42,0.6481,0.8794
2472.79,4.3,1.39,8.76,5.9252,0.797
4928.97,1.4,1.14,4.34,4.9956,1.0632
1248.17,1.96,0.53,3.48,1.1388,1.143
3377.07,1.57,1.85,12.26,4.4737,1.0172
3820.02,2.39,2.63,18.29,2.4188,0.987
1226.31,2.8,2.89,7.44,2.5277,0.9395
3654.67,4,1.91,34.39,4.9216,0.9761
1870.53,3.6,1.79,10.15,6.0494,0.8956
3179.91,3.48,0.71,14.14,0.7958,1.0079
3185.97,2.41,1.87,8.71,2.6429,0.9128
2702.08,4.37,1.45,20.36,3.0218,0.9823
496.93,2.89,2.02,10.57,2.3644,0.9972
4184.75,4.92,1.47,27.81,2.282,1.0089
1637.86,3.54,1.1,17.55,0.3284,0.9872
973.27,1.51,0.74,14.88,4.3074,1.0161
251.84,3.7,1.29,7.32,2.7408,0.8039
2974.92,2.3,0.74,6.23,1.2239,1.0891
3403.94,3.75,0.94,7.3,5.1273,1.2074
132.11,1.28,2.97,8.72,5.0426,1.018
2584.86,1.7,1.61,3.34,3.0561,0.729
1171.15,4.42,1.83,38.08,1.8752,1.0018
3243.61,1.91,2.68,11.17,4.0093,0.938
913.11,4.35,2.99,26,1.8105,1.0263
3470.14,2.12,1.96,13.28,1.4829,1.0222
1964.34,3.57,2.53,10.54,4.59,1.1572
4686.81,3.78,1.32,12.01,0.2534,0.9316
730.73,3.05,1.26,12.84,0.5954,0.9902
1738.28,2.22,1.51,14.54,0.0427,0.9646
611.69,1.85,2.18,6.08,0.961,1.0425
4627.23,1.13,2.21,2.82,0.4335,0.876
4392.83,2.22,1.29,21.6,6.2568,1.0236
1326.81,3.61,0.83,6.09,1.8146,1.2504
3316.92,4.75,2.08,39.56,0.9379,1.0122
4095.25,4.48,0.82,36.77,1.5142,0.9335
2798.24,4.06,1.95,16.36,5.8819,0.9507
2671.77,4.15,2.23,11.02,3.2683,0.8761
1247.17,3.66,2.25,10.02,2.2922,0.9859
510.86,2.04,2.38,15.16,5.4877,0.9952
4491.22,4.63,2.68,32.23,2.4818,1.0331
4507.07,3.68,1.75,30.03,2.1049,1.0027
3183.85,3.24,2.33,30.69,1.3024,0.994
1728.2,1.44,2.05,10.66,2.3738,1.0002
1778.59,2.79,0.97,7.88,1.9898,1.1096
3643.48,2.84,0.56,10.14,4.2556,1.0918
4490.7,4.46,1.21,38.6,1.8195,1.0639
4441.08,3.19,1.61,10.45,3.6267,0.9699
3910.38,2.52,2.04,5.34,0.414,0.8506
3228.06,4.91,2.62,36.7,1.2019,0.936
466.49,1.44,0.99,7.1,2.5598,0.9812
850.06,2.69,0.81,25.07,5.887,0.9879
4497.84,1.17,2.91,8.21,2.3703,0.9153
3051.82,3.96,0.77,8.98,4.1725,1.0764
95.53,4.67,1.7,44.65,1.6028,1.009
552.28,2.12,1.96,7.84,0.7982,1.0043
3334.33,4.43,1.85,19.36,0.3678,0.9891
75.05,2.17,0.72,10.67,1.919,1.0329
846,4.64,0.64,8.99,0.9906,1.0451
2766.23,4.02,0.76,22.97,1.0933,0.9913
3474.88,4.22,1.96,10.75,4.78,1.0908
3277.21,1.07,1.86,5.26,0.0995,0.9018
1160.13,4.85,1.08,21.74,3.5048,0.9486
3575.29,3.91,2.09,31.52,2.3842,0.9675
1224.38,2.22,2.55,18.48,3.1827,0.9837
1660.73,4.32,0.6,12.11,3.5364,0.9081
3745.13,2.13,1.75,9.81,1.9689,1.0461
3265.68,4.49,2.22,20.99,1.8542,1.0313
4253.66,1.45,1.13,4.04,4.6081,1.1291
3305.18,3.81,1.27,31.61,5.4744,1.0385
2863.13,3.16,2.03,23.76,1.21,0.9796
513.69,1.39,2.74,4.32,0.6134,0.9723
1870.19,1.97,2.52,9.08,5.641,0.9875
1362.75,1.05,1.96,2.52,2.1985,1.0291
1257.75,2.88,2.33,19.66,3.464,0.9941
4866.4,2.21,1.41,5.58,2.2591,1.0833
1995.83,3.39,2.1,33.53,0.7904,0.9813
4465.63,2.19,1.67,17.81,3.7029,0.9854
3174.14,2.2,0.97,10.6,3.2996,0.9681
3984.32,3.97,2.25,25.5,1.2754,1.0094
2538.05,1.19,1.89,11.03,2.8392,1.0052
2905.67,4.61,1.4,28.64,5.0074,1.0298
2487.96,4.41,2.78,13.15,3.7098,1.0102
1016.45,3.67,0.55,17.32,0.6089,0.9698
3626.14,3.37,1.29,29.23,3.4433,0.9846
1439.82,4.57,0.64,31.87,4.4154,1.004
170.36,1.74,2.42,12.24,4.9807,1.0185
3245.09,1.32,2.26,11.67,3.9529,0.9483
926.7,1.96,1.33,17.82,0.9592,1.0074
4705.27,4.18,2.19,38.93,4.4622,0.9805
4771.95,1.14,1.49,2.63,4.2559,1.0911
4578.58,3.33,2.39,20.4,0.1535,0.9084
1882.29,4.98,1.64,38.83,2.5871,0.984
126.51,4.42,1.53,35.09,2.092,1.0095
4645.18,3.09,2.84,20.54,4.206,1.011
2169.51,1.25,1.13,3.66,1.358,1.1031
4834.94,4.33,0.8,35.81,3.7126,1.0745
4819.92,3.4,1.96,25.88,5.7378,1.0049
4272.4,1.46,2.92,3.26,5.0127,1.1445
1507.52,1.38,1.44,7.49,5.7897,0.9888
1956.23,4.64,0.66,13.82,6.1481,0.8837
4263.13,3.68,1.35,16.06,0.067,0.9266
1618.76,4.32,1.76,7.14,3.9128,1.0522
888.99,4.52,0.9,22.14,2.5939,0.9899
2806.17,3.29,2.15,20.29,5.4026,0.9945
4683.97,3.07,2.99,20.77,1.5822,1.0304
3495.35,2.72,1.63,19.43,6.164,0.9447
2871.8,2.27,1.39,19.52,3.856,1.0107
531.02,2.74,1.5,9.12,4.9859,1.0739
3094.29,4.1,0.79,10.34,0.5378,0.9257
4950.77,3.41,2.71,29.78,1.1527,1.0523
743.42,4.57,1.54,12.94,4.7652,1.2101
2615.73,2.77,1.47,27.14,0.1381,0.9894
4393,3.43,2.15,29.69,5.1326,0.9313
3716.8,3.53,1.61,20.3,0.0876,1.0815
3500.23,3.37,2.12,33.14,4.1288,1.0652
3527.3,3.81,0.65,8.87,2.294,1.0612
1829.48,1.95,2.53,7.95,3.8421,0.9778
1503.28,3.05,2.85,21.12,4.3733,1.0146
4056.34,1.42,2.12,6.34,2.1518,0.9988
4060.06,2.54,2.89,23.84,0.6783,1.049
4342.01,2.95,0.88,6.07,0.4376,0.8534
4570.54,3.61,1.69,22.27,3.7004,0.9529
2581.14,4.8,2,31.32,3.2714,0.9651
2532.51,3.4,1.95,23.98,4.6634,1.0484
4001.56,3.97,1.5,14.6,3.2028,0.9905
3267.32,3.03,1.35,13.91,2.6543,1.0242
3524.74,3.54,0.82,30.67,2.5013,1.023
3989.17,1.28,1.48,4.05,0.1662,0.8956
4455.53,2.02,0.91,17.21,2.1084,0.8622
1723.08,2.45,2.34,15.38,6.1325,0.981
1909.14,2.89,1.02,23.06,5.4887,1.0004
515.21,1.18,0.65,8.95,2.0695,1.0103
2912.49,1.56,1.88,5.09,3.6932,0.9629
227.91,2.11,1.99,13.35,5.3237,1.0057
2354.71,4.89,2.68,43.37,2.7726,1.0038
2736.09,2.33,1.94,12.03,0.1128,0.9809
1468.38,2.93,1.36,28.45,0.4682,1.0038
2974.62,1.78,2.51,9.54,3.2069,0.9934
200.98,3.44,1.85,9.34,6.0912,0.8965
234.87,2.12,0.7,10.21,4.3556,1.0321
4121.87,1.83,1.91,17.53,0.4456,0.9903
1832.94,3.07,2.77,12.93,1.1898,1.0431
678.95,1.02,1.49,9.07,4.8464,1.013
2635.1,1.03,1.24,9.27,5.2869,1.0314
3861.47,1.88,0.86,8.4,3.8811,1.0215
1118.31,1.15,0.88,2.53,4.049,1.1328
3133.31,1.43,1.58,10.97,0.178,1.0532
472.47,2.36,1.99,9.77,5.2058,1.0336
305.82,4.21,0.7,34.33,4.9529,1.0016
2680.21,3.29,2.85,17.3,1.6276,1.069
2726.14,3.05,2.39,17.16,4.4527,1.0128
3205.28,2.17,1.97,17.64,1.35,0.9881
3644.15,4.73,2.57,22.45,0.2534,0.947
4880.47,2.59,0.7,13.63,1.2638,1.0079
2605.69,1.35,1.69,6.33,1.1224,1.0448
1648.63,3.47,2.08,16.03,2.1221,0.9963
3986.17,1.46,2.57,8.69,2.6292,0.9428
1390.62,2.38,2.46,19.94,3.1952,0.9906
2222.91,3.03,1.19,13.86,2.9955,0.9682
438.36,4.5,2.85,26.78,1.7007,1.0301
175.49,2.97,0.81,21.42,0.1833,0.9806
4815.11,3.81,2.69,14.44,3.802,0.938
4188.1,4.97,2.93,19.18,2.4865,0.9636
3495.07,1.53,0.94,14.4,1.8766,1.0176
2074.32,2.1,2.31,16.06,5.4472,1.0327
907.81,2.58,0.6,16.52,4.6919,1.0058
824.36,2.69,1.51,18.83,5.3895,1.0028
1288.7,2.64,1.79,4.62,3.1101,0.656
2768.67,4.63,1.95,31.27,0.8227,0.9561
3587.25,3.86,2.84,22.48,4.3745,1.0578
3317.98,3.43,2.18,21.07,1.2948,1.0408
1435.67,2.24,1.7,10.19,2.7723,0.9714
4776.58,4.3,2.52,9.42,0.4084,0.9005
3702.59,4.82,2.88,15.15,5.1856,1.0446
2794.05,4.28,0.56,41.05,0.7913,0.9881
3078.02,1.01,2.96,5.01,5.6743,1.054
2127.02,3.55,0.72,19.38,5.4301,0.9998
1276.27,1.2,2.54,2.35,2.9191,0.7728
1812.06,2.03,1.2,3.69,4.677,1.3335
3801.34,1.24,0.83,9.4,3.8921,0.9287
121.25,3.42,1.6,20.74,5.0459,1.019
624.56,3.75,2.11,21.82,2.7131,0.9773
277.71,1.46,1.45,5.2,4.9374,1.0743
251.61,2.54,0.64,19.85,2.9057,0.9875
4284.53,2.82,2,8.28,5.9123,0.9572
3533.11,2.48,2.76,7.71,3.056,0.8637
2397.16,1.48,1.46,8.04,2.9067,1.0085
534.28,2.68,1.04,10.52,4.9328,1.0537
2483.5,4,1.61,14.43,5.1621,1.0549
2393.69,1.28,0.62,8.97,3.484,0.984
907.35,1.32,2.55,9.29,1.1297,1.0114
2197.57,2.42,2.57,20.58,2.939,1.0167
2022.6,4.77,1.97,24.08,6.0826,0.9498
3098.46,3.67,1.38,7.79,4.7312,1.188
3193.71,3.71,2.5,14.21,5.0967,1.0508
274.25,2.45,1.89,24.06,0.2062,0.9894
1904.33,3.37,2.56,22.17,2.9396,1.043
3148.01,1.04,2.08,7.84,4.0628,1.0262
2540.52,3.54,2.46,5.54,5.2152,1.1718
4289.62,4.65,2,27.48,0.3096,0.9315
3310.53,3.45,1.54,6.28,5.356,1.0123
856.53,4.49,2.89,28.49,3.4457,0.9709
399.32,3.9,1.85,36.34,1.2398,1.0096
3229.98,1.48,2.01,14.42,1.9934,1.0531
181.23,4.61,1.05,28.1,1.7714,1.0269
2949.59,1.27,2.06,6.83,3.3355,0.975
4704.14,3.14,1.93,29.89,0.3248,0.9761
2898.6,1.57,0.96,11.33,0.9961,1.0158
1971.44,1.05,0.65,2.15,5.1063,1.177
3234.28,2.69,2.01,14.67,0.8332,1.0593
2318.35,2.18,2.41,7.72,1.4665,1.0737
2750.8,2.94,1.81,16.17,2.8486,0.9702
4710.25,3.31,1.07,17.77,3.2492,0.8618
1961.21,1.17,2.17,7.58,4.7979,1.0199
4807.89,1.49,0.7,6.76,2.8107,1.0023
4531.49,3.23,1.6,9.37,4.9629,1.0593
1019.17,2.37,0.91,13.72,3.8852,0.9903
393.34,3.92,0.96,33.51,0.7106,1.0012
548.85,3.61,1.01,25.78,0.9823,0.9996
140.2,4.38,1.47,19.18,2.746,0.9655
517.49,3.77,0.63,35.63,2.4937,0.9943
3430.88,2.72,1.49,25.17,4.6718,0.9983
402.38,3.69,1.78,12.11,3.6489,0.9497
1628.93,2.1,1.71,3.86,2.4387,0.9825
4232.13,2.23,1.46,17.36,1.0729,1.1131
165.2,4.16,2.6,35.47,1.4253,1.0144
4081.62,2.79,0.86,27.1,3.616,0.9586
1445.18,4.19,1.76,38.01,2.6605,1.0095
634.92,4.29,0.66,28.33,3.2354,0.9755
3498.85,4.43,0.68,26.61,1.0724,1.0634
3163.27,4.67,1.93,8.1,4.1652,1.2211
4393.49,2.72,1.92,9.8,5.3567,0.8949
3688.6,2.28,2.7,12.3,1.6207,0.997
4027.23,3.33,1.89,22.78,3.0883,1.0168
1446.07,2.48,2.9,15.5,6.1294,0.9777
928.33,3.4,0.62,26.6,2.0938,0.9988
3765.54,3.82,0.75,14.82,3.7388,0.9537
4043.83,3.75,0.61,23.66,0.5667,0.9125
4953,2.5,0.96,5.62,3.8077,0.9687
2092.46,1.67,1.85,8.36,0.5632,1.0298
1891.49,2.72,2.11,21.44,6.0271,1.0012
3893.24,1.57,0.61,11.61,4.4966,1.1019
1736.98,4.56,2.86,45.24,4.9522,1.0244
4657.25,2.38,2.61,9.21,4.424,1.1047
4299.14,1.62,1.24,9.28,3.7054,1.0722
2173.52,1.1,0.69,4.74,2.8269,0.965
3766.81,3.58,0.92,18.79,5.3933,1.0011
3784.99,3.55,0.82,31.16,6.012,1.028
560.46,2.36,0.81,17.28,3.1355,0.9895
4517.64,1.29,1.8,11.58,5.853,0.9703
2551,2.64,1.11,8.52,3.6652,0.9373
4140.96,2.24,1.4,20.03,3.3828,0.9946
1634.25,3.71,2.97,7.45,2.8556,0.8097
4482.84,3.42,2.21,30.99,1.315,1.0464
1976.55,2.46,2.87,10.56,0.0234,0.9178
103.65,1.87,0.86,7.81,1.5174,1.0591
4531.64,4.95,1.46,28.98,3.2027,0.942
501.87,2.82,1.89,26.74,2.3874,0.998
1630.6,3.75,0.69,7.15,2.8179,0.7757
4752.81,1.56,0.51,7.02,6.1616,1.0803
4755.51,2.94,2.18,25.84,2.2008,1.0156
2888.52,1.11,2.1,5.4,2.8411,0.9409
3177.59,3.02,1.53,9.65,0.8389,1.0426
2269.81,4.86,1.72,24.82,0.3013,0.9862
1501.39,2.54,1.54,12.12,4.872,1.0389
1676.89,1.16,0.56,10.73,3.5857,1.0068
3378.97,1.12,1.34,8.96,4.7796,0.9877
3774.25,2.55,0.94,14.78,0.9416,0.991
3968.32,1.64,0.75,16.24,3.5929,0.9139
3958.61,1.09,2.89,5.96,1.5937,0.9812
501.47,4.02,2,8.03,1.433,1.1344
2497.38,2.83,2.32,10.57,0.0724,0.9699
334.92,2.16,1.29,11.23,0.819,1.0034
2770.17,4.6,1.48,13.04,1.9432,1.1313
2235.58,1.46,1.09,13.99,0.7344,0.9954
4444.14,4.82,0.74,38.68,6.1943,0.9739
1787.03,2.26,0.95,8.53,1.9392,1.0539
629.48,4.55,2.49,29.7,0.8188,1.0011
757.81,3.41,2.19,26.04,1.2509,1.0122
3819.48,4.31,1.87,40.92,3.6926,1.0387
3110.18,4.94,1.69,44.39,0.4024,0.9961
550.56,2.15,2.81,12.66,5.4188,1.0089
466.33,4.84,0.68,39.17,6.0413,0.9913
3519.8,2.56,1.2,16.06,1.5504,1.039
410.18,2.54,1.37,15.76,2.828,0.9751
4118.21,2.36,2.46,5.85,0.1391,0.785
3545.9,3.17,2.98,8.14,4.0257,1.049
452.68,1.62,1.1,9.7,2.6008,0.9865
469.95,3.21,2.69,12.17,1.6968,1.0681
4933.87,3.17,2.58,5.32,1.2996,1.2725
1902.64,4.05,1.06,30.94,4.1093,1.0554
1884.68,4.33,1.5,7.7,2.6152,0.8517
4073.36,2.76,1.52,18.12,1.1288,0.9338
4738.88,2.21,2.95,13.44,4.3298,1.0354
4930.71,2.04,0.95,19.83,3.5505,0.9743
3779.22,1.78,2.5,9.99,5.3952,1.0189
1912.48,1.23,1.34,2.51,0.7381,0.9771
463.33,2.37,2.33,14.67,4.9365,1.0295
3896.88,2.08,1.55,18,4.2318,0.949
2814.1,4.87,1.95,48.53,0.7226,0.9831
2149.9,3.23,2.58,16.66,4.3657,1.0384
4536.45,2.39,2.51,10.09,2.7743,0.9941
600.43,3.32,2.67,30.58,5.9375,1.0041
2488.49,1.56,0.65,4.87,0.8898,1.0499
106.2,2.78,2.23,18.69,4.039,1.0051
2369.87,3.5,0.85,17.34,2.4001,0.9762
328.7,2.96,1.54,5.47,6.0118,0.7312
638.15,2.61,1.87,11.61,2.0733,1.0241
631.75,4.98,1.51,18.68,6.0456,0.9416
3263.59,4.52,1.8,33.15,5.6642,1.0025
3742.92,3.49,2.99,33.42,1.6989,0.961
2937.68,3.28,0.84,12.38,5.0488,1.0429
4812.75,3.48,2.19,29.25,6.2556,1.0281
1905.61,1.81,1.49,3.56,1.5875,1.2361
1464.27,2.58,0.83,15.67,2.7444,0.9895
4349.57,1.16,0.9,2.43,3.2684,0.7993
1156.8,2.9,2.87,27.39,1.8531,1.0283
4817.95,3.17,2.7,25.42,0.0959,0.9961
110.16,1.91,2.77,13.55,1.3831,1.0181
4850.9,4.86,2.98,41.29,1.7715,0.9683
263.64,4.64,1.02,32.48,2.7872,0.9853
4461.16,3.89,1.39,37.86,1.0751,0.8969
2662.12,3.13,2.17,23.72,5.4868,0.9956
4965.18,4.48,1.71,41.93,4.4291,0.9994
415.29,1.52,1.55,8.98,0.5353,0.9809
2791.58,4.16,1.39,10.38,4.0847,1.0429
4848.05,1.5,1.98,8.98,4.107,1.0494
2639.33,4.18,1.94,10.77,6.0081,0.8822
3165.52,2.1,0.9,13.75,0.019,0.9798
3493.96,4.51,1.68,25.25,1.5578,1.0426
2299.98,4.78,1.88,32.44,5.8295,0.9889
3156.41,1.6,1.93,2.53,5.8568,0.7281
2942.36,2.85,1.03,9,4.5276,1.0978
4510.73,4.92,2.36,27.95,4.8114,0.9647
274.96,2.93,0.56,28.1,0.5748,1.0001
1440.77,4.45,1.39,21.2,3.2288,0.9619
4754.54,3.35,2.45,17.13,1.4551,1.0093
4456.81,2.5,1.91,18.95,1.1386,0.9555
2305.5,2.14,1.15,14.21,5.0913,1.0258
3119.66,1.81,2.24,7.33,0.8485,1.0059
1423.04,4.05,1.92,20.2,2.9446,0.9855
981.2,2.55,2.49,8.53,5.8973,0.9348
2345.31,3.05,2.34,29.57,1.1676,0.9877
1799.09,2.97,2.03,7.75,6.1449,0.8774
2939.1,3.31,1.72,15.42,6.2473,0.9813
434.79,4.46,0.83,7.67,3.491,0.7988
4873.25,4.92,1.15,16.66,1.069,1.0824
4931.74,2.63,1.55,21.4,1.9861,1.0084
3505.9,4.31,2,13.84,2.6672,0.9549
2703.68,4.06,1.78,8.85,1.9435,1.1839
1582.16,3.29,1.22,18.23,1.7633,1.0402
4078.29,4.82,0.52,7.65,6.1087,0.5383
3439.42,1.8,1.74,4,0.9636,1.1203
854.95,1.44,1.21,12.02,4.6076,0.9938
4559.09,4.42,2.34,35.58,0.0026,1.0782
4121.56,2.76,0.56,25.58,3.7459,0.9256
4751.51,4.39,1.96,38.45,5.755,0.9639
3642.31,4.57,2.85,33.41,1.8091,1.0152
3086.41,1.25,0.94,2.43,1.1657,1.162
2120.3,4.53,1.68,36.97,4.0946,1.0264
4667.01,2.79,0.73,24.26,4.4774,0.9625
4337.02,3.04,2.06,25.22,4.323,1.0217
273.83,3.51,1.88,20.41,2.0063,1.0177
180.52,4.71,1.52,16.37,1.5846,1.0831
1913.49,1.08,1.8,9.35,6.0062,0.9875
4062.24,2.91,2.74,22.33,5.8013,0.9942
4937.02,3.75,0.99,36.9,2.8734,0.964
794.56,3.89,0.56,10.99,5.3168,1.1053
2990.95,3.77,2.65,12.89,2.842,0.9392
1935.41,1.54,1.94,5.07,2.6665,0.9678
4851.08,2.2,2.73,18.1,0.985,0.9768
4218.49,2.43,1.99,7.52,2.6792,0.904
4199.73,4.22,2.53,8.72,3.3767,0.8245
2370.03,2.12,1.57,21.12,0.1414,0.9896
2103.36,1.84,2.37,3.15,2.7904,0.7841
