wind_speed,wind_dir,air_pressure,tide_level,surface_current,current_dir,depth,Hs
6.299,226.044,1023.768,0.929,0.305,223.287,21.103,0.902
2.923,29.433,1012.495,0.847,0.24,63.78,13.205,0.528
15.555,314.488,1015.013,0.963,0.913,284,11.19,1.984
12.416,331.514,1015.41,0.256,0.671,349.691,11.209,1.473
10.335,21.988,1011.321,0.171,0.56,24.843,9.41,1.324
13.842,99.676,1003.762,0.313,0.741,85.747,11.713,1.875
12.015,290.232,1008.687,1.336,0.788,241.528,21.284,1.956
6.004,269.373,1009.526,1.247,0.348,275.701,25.634,1.08
17.171,66.428,1004.031,0.489,0.836,90.265,24.283,2.344
9.89,75.366,1011.698,1.021,0.592,46.94,21.703,1.371
11.528,133.37,1009.914,0.464,0.677,137.723,10.209,1.647
13.599,174.428,995,0.574,0.607,164.58,13.784,2.131
5.788,222.572,1007.114,-0.335,0.322,238.364,14.196,1.064
5.943,132.809,1015.899,0.994,0.243,107.527,12.999,0.882
5.567,166.512,995,-0.13,0.322,180.428,18.3,0.99
9.374,269.09,1012.886,0.905,0.534,263.059,18.711,1.267
12.975,13.206,1009.846,0.681,0.773,1.002,15.138,1.844
5.841,90.877,1009.604,0.571,0.417,41.749,15.076,0.927
9.637,256.806,1013.062,0.11,0.586,215.749,24.571,1.335
8.499,322.274,1017.035,0.262,0.455,323.557,23.786,0.994
5.27,184.204,1006.363,0.18,0.476,175.367,14.156,0.944
6.055,191.561,1013.744,0.282,0.382,223.34,26.276,0.823
8.086,38.582,1012.022,-0.023,0.569,12.348,27.056,1.112
12.818,161.068,1003.976,0.875,0.707,145.538,14.535,1.969
8.025,191.742,1017.759,0.525,0.361,173.264,15.088,1.184
9.746,87.289,1019.206,0.059,0.581,40.748,18.113,0.995
11.732,96.928,1012.242,0.343,0.614,44.51,26.822,1.501
8.794,135.822,1014.147,0.319,0.522,133.623,25.526,1.208
13.693,7.226,1014.388,0.667,0.688,6.513,10.051,1.69
13.555,115.948,1013.393,0.463,0.834,109.987,15.855,1.872
5.705,76.121,1014.737,1.252,0.226,80.035,19.067,1.045
9.457,117.899,1016.881,0.445,0.582,123.288,18.063,1.308
8.094,43.114,1011.833,1.185,0.46,354.81,11.877,1.264
2.769,320.59,1012.947,0.878,0.274,316.261,25.176,0.607
5.303,213.693,1013.216,0.045,0.432,226.42,21.539,0.79
12.259,244.477,999.23,0.977,0.674,245.772,24.758,2.153
9.53,284.102,1024.529,-0.106,0.508,302.422,25.175,0.845
7.672,179.439,1017.161,0.955,0.435,165.693,22.967,1.22
7.245,31.291,995.149,0.25,0.292,46.812,16.784,1.247
15.327,193.358,1011.212,0.993,0.766,207.589,20.211,2.196
5.587,211.263,999.329,1.1,0.422,212.162,11.207,1.487
4.983,268.358,1007.732,0.69,0.522,324.004,21.473,0.994
9.378,155.397,1018.07,0.718,0.605,124.057,11.585,1.242
15.839,45.929,1018.828,0.061,0.925,29.318,21.879,1.743
5.986,102.159,1010.109,-0.015,0.419,120.18,12.592,0.802
10.465,130.71,1003.666,0.412,0.657,150.888,10.351,1.533
12.25,232.53,1008.025,0.185,0.602,214.261,11.306,1.573
7.231,205.48,1011.883,0.634,0.601,188.745,8.04,1.275
13.456,128.195,1020.294,0.049,0.731,97.978,22.375,1.753
7.926,355.145,1011.378,1.163,0.393,342.058,22.648,1.105
12.913,218.079,1005.855,0.79,0.69,245.492,18.299,1.907
10.961,85.402,1010.585,0.936,0.607,86.345,11.227,1.618
10.133,36.642,1011.15,-0.047,0.654,22.976,9.671,1.173
2.434,55.029,1013.036,0.847,0.236,44.34,8.383,0.494
11.892,88.545,1004.064,1.109,0.629,47.164,11.315,1.68
7.269,57.845,1011.386,0.44,0.612,69.742,25.817,1.101
4.707,67.164,1010.762,0.688,0.238,124.7,12.831,0.683
1,102.634,1023.752,0.986,0.16,134.946,15.085,0.421
10.401,62.414,1007.216,0.091,0.485,23.716,10.107,1.274
10.981,322.836,1011.644,0.457,0.632,7.621,12.447,1.448
1.978,28.884,1021.43,0.246,0.408,53.406,18.384,0.314
9.712,188.824,999.024,-0.138,0.528,205.31,20.155,1.476
6.699,147.743,1015.372,0.352,0.532,145.602,12.907,1.029
10.37,353.656,1015.089,-0.134,0.484,349.108,9.155,1.208
2.381,40.334,995,-0.211,0.374,15.585,15.821,0.761
11.579,143.228,1007.6,0.1,0.719,101.176,12.684,1.561
8.078,349.009,1015.638,0.742,0.594,312.241,12.391,1.204
17.438,311.583,999.108,0.543,0.656,289.734,27.197,2.475
4.1,294.146,1011.597,0.796,0.435,292.956,20.326,1.002
6.959,92.845,1008.764,0.346,0.493,100.665,19.138,0.898
6.348,61.52,1011.081,-0.008,0.35,59.092,16.316,0.685
14.972,240.712,996.274,0.463,0.878,203.388,16.579,2.188
15.269,334.575,1025,0.387,0.745,53.528,18.818,1.636
7.451,200.435,1021.511,-0.37,0.542,224.366,21.929,0.826
10.71,205.781,1018.825,0.477,0.538,228.453,22.043,1.331
17.683,100.792,1015.864,0.636,0.942,145.373,11.434,2.259
10.193,277.017,1001.777,0.627,0.583,281.036,18.002,1.781
9.765,67.336,1014.502,0.03,0.487,105.413,16.239,1.181
1.424,116.525,1006.003,-0.202,0.161,72.104,25.411,0.392
1,153.157,996.187,0.699,0.05,146.365,20.628,0.796
14.707,182.74,1006.972,0.413,0.776,155.672,18.65,1.983
17.273,87.268,1009.673,-0.152,0.826,60.592,10.308,1.95
10.542,41.341,1013.879,1.361,0.605,356.557,20.113,1.379
8.013,219.823,1010.513,-0.248,0.447,233.887,10.344,1.016
7.184,103.907,1005.64,0.659,0.38,121.041,14.744,1.128
13.653,209.246,1025,1.069,0.801,213.738,10.857,1.882
16.928,55.571,1008.531,0.23,0.835,358.651,21.841,2.022
13.756,173.21,1003.077,0.229,0.894,197.837,12.125,2.044
15.006,191.732,1018.567,-0.27,0.931,209.061,15.837,1.789
12.126,18.656,1012.997,0.251,0.699,13.518,25.913,1.459
1,121.178,1001.706,0.108,0.184,136.843,12.086,0.536
3.75,48.389,998.689,0.779,0.505,22.112,18.156,0.992
15.411,22.815,1012.483,-0.241,0.724,1.212,16.385,1.789
10.931,356.386,1011.696,0.465,0.504,22.677,8.362,1.36
4.315,116.047,1002.982,0.923,0.219,95.399,23.855,0.886
1,291.555,1025,0.558,0.22,289.148,9.381,0.182
13.533,91.671,1007.689,0.285,0.624,104.001,17.485,1.751
4.9,245.341,1008.25,0.653,0.356,265.018,19.214,1.024
6.232,273.682,1024.701,0.506,0.57,232.21,20.569,0.792
10.091,214.43,1007.56,0.319,0.669,167.159,21.773,1.509
11.723,169.767,1015.284,-0.259,0.654,131.986,13.065,1.413
13.942,148.263,1007.265,0.928,0.67,155.19,8.2,2.04
7.397,125.593,1005.77,0.368,0.508,124.108,22.469,1.312
10.193,334.63,1017.62,0.096,0.603,309.132,18.713,1.209
6.287,299.023,1008.548,0.262,0.28,326.434,24.722,1.007
8.168,347.41,1020.099,0.333,0.385,350.456,24.428,1.022
12.078,44.747,1002.921,0.731,0.697,28.14,24.867,1.766
11.914,263.112,1006.258,0.733,0.721,263.197,17.702,1.748
14.983,337.803,995.488,1.161,0.828,4.156,14.673,2.323
11.018,65.244,1013.852,-0.032,0.789,28.081,23.831,1.393
10.38,23.939,1007.175,0.386,0.592,354.016,17.026,1.518
4.443,266.803,1017.049,0.426,0.325,298.33,11.669,0.651
7.612,206.81,1009.437,-0.474,0.455,203.548,25.099,1.079
7.427,303.058,1015.539,0.085,0.379,305.299,25.651,0.929
6.013,50.318,1005.866,0.89,0.375,45.387,17.326,1.026
21.412,286.296,1013.534,0.13,1.121,248.768,9.514,2.78
8.204,72.586,1013.24,0.506,0.51,33.04,15.757,1.04
17.435,58.916,1015.147,0.134,0.963,54.809,24.071,1.93
10.998,59.136,1017.127,-0.542,0.606,22.877,26.035,1.213
12.519,293.247,1011.386,0.036,0.731,251.35,12.069,1.652
9.538,239.471,1013.52,0.876,0.579,254.313,9.339,1.3
10.641,188.304,1004.329,0.626,0.63,212.259,25.547,1.741
9.358,129.179,995,0.677,0.599,105.566,15.788,1.66
6.92,315.792,1025,0.436,0.353,333.817,18.835,0.608
12.232,141.28,1011.472,0.052,0.672,114.246,27.361,1.448
6.577,293.976,1015.685,0.528,0.348,328.631,9.331,0.933
1.609,158.089,1009.948,0.387,0.153,192.257,20.966,0.481
10.16,135.7,1001.562,0.801,0.571,165.583,9.482,1.698
1,166.565,1012.644,0.127,0.192,204.485,15.509,0.469
14.744,108.496,1008.515,0.441,0.866,112.122,24.076,2.165
13.693,269.139,1005.91,-0.295,0.76,251.49,16.669,1.791
17.607,180.979,1009.9,0.278,1.038,172.754,27.944,2.539
7.396,83.597,999.719,0.838,0.454,88.058,19.181,1.328
1,323.847,1011.32,0.403,0.195,301.921,14.423,0.422
13.769,138.201,1004.887,0.255,0.57,140.496,12.402,1.77
8.563,195.679,1015.497,0.227,0.497,204.704,15.01,1.104
15.723,326.33,1002.05,0.401,0.82,355.43,15.451,2.228
21.175,224.726,1009.481,1.183,0.888,250.97,9.374,2.892
11.442,42.083,1000.637,0.751,0.573,84.483,15.391,1.545
7.52,338.34,999.561,0.766,0.405,9.651,17.285,1.363
8.6,225.975,1008.098,0.923,0.617,229.004,22.455,1.457
12.682,120.566,1009.196,-0.009,0.65,191.652,21.135,1.56
7.281,50.138,1012.552,0.821,0.443,67.561,22.175,1.023
6.008,285.849,1005.043,0.411,0.318,246.53,8.167,1.123
10.118,223.226,1015.182,0.195,0.601,220.82,12.353,1.362
17.517,192.046,1023.216,1.272,0.856,205.268,21.234,2.272
13.704,321.801,1019.274,-0.008,0.657,308.335,17.68,1.48
9.878,283.895,998.202,1.211,0.569,294.216,8.106,1.76
6.215,54.603,1009.487,0.373,0.216,72.21,24.09,0.894
11.206,112.22,1005.467,0.639,0.578,63.411,23.456,1.56
14.571,89.456,1007.412,0.642,0.605,96.172,18.968,1.888
6.301,267.821,1020.545,0.967,0.331,299.388,9.329,0.763
9.673,12.072,1008.102,0.58,0.517,11.976,23.33,1.369
13.219,205.16,1009.978,0.702,0.784,150.037,19.674,1.859
13.951,274.485,1011.566,-0.117,0.76,222.598,23.639,1.811
10.846,315.636,1013.351,0.49,0.611,306.147,23.035,1.415
12.637,123.149,1011.623,0.204,0.67,157.918,24.06,1.583
7.666,295.653,995,1.16,0.545,266.109,18.36,1.69
7.546,39.827,1008.478,0.466,0.423,43.639,10.806,1.181
12.968,304.723,1010.368,0.545,0.627,274.461,21.423,1.701
12.256,45.896,996.999,0.231,0.713,37.393,20.409,1.802
14.607,143.023,1008.615,-0.307,0.679,170.215,22.845,1.767
11.816,287.026,996.435,0.806,0.592,311.946,11.398,1.951
9.526,53.97,1002.913,-0.384,0.551,31.646,11.9,1.144
9.521,82.531,1008.349,0.152,0.578,78.65,25.808,1.337
11.855,260.011,995,0.738,0.652,227.657,23,2.034
10.309,259.213,1010.881,0.255,0.602,256.831,26.165,1.459
11.699,230.813,1014.687,-0.182,0.761,232.561,23.174,1.283
10.883,249.821,1018.688,0.04,0.453,240.311,19.943,1.257
17.121,195.381,1007.859,1.132,0.857,177.761,21.083,2.466
8.868,90.648,1001.986,0.757,0.496,150.581,25.783,1.313
7.827,124.451,995.489,0.085,0.447,162.149,19.576,1.355
4.84,65.375,1011.462,0.043,0.303,29.82,20.648,0.75
10.666,327.042,1016.693,-0.137,0.721,346.726,11.13,1.267
4.875,210.021,999.588,0.774,0.378,198.579,17.478,1.255
9.252,144.307,1019.904,0.607,0.568,140.342,22.328,1.132
10.6,166.322,999.871,0.152,0.561,172.799,13.419,1.585
5.62,341.022,1010.639,0.142,0.474,353.928,12.045,0.745
11.209,55.207,1017.354,-0.138,0.832,87.7,14.277,1.306
5.355,211.043,1023.459,1.508,0.462,215.467,12.83,1.011
7.539,182.12,1014.923,0.061,0.319,169.536,12.298,0.987
12.59,220.124,1018.291,0.706,0.599,272.661,16.497,1.48
7.706,6.52,1006.37,0.796,0.428,349.827,26.157,1.215
5.804,313.965,1016.201,0.254,0.421,319.305,18.141,0.82
9.898,335.563,999.966,0.361,0.599,325.703,11.758,1.489
11.963,203.448,1018.374,0.071,0.544,221.443,9.539,1.422
2.728,250.794,1011.058,0.566,0.203,218.194,21.923,0.747
10.943,332.1,1018.719,0.613,0.6,294.921,15.656,1.372
1.921,254.606,1009.065,0.825,0.191,319.088,24.437,0.652
5.96,54.914,1011.025,0.491,0.285,45.209,21.19,0.746
9.848,207.464,1010.315,-0.578,0.542,208.141,23.925,1.207
10.124,218.417,1014.319,0.969,0.677,190.013,13.439,1.481
10.45,152.687,999.279,0.674,0.496,128.29,21.847,1.661
11.027,265.12,1000.269,0.171,0.533,198.837,13.281,1.639
21.026,336.372,1004.034,0.797,1.019,322.039,26.781,2.93
9.754,333.205,1003.354,0.589,0.657,7.499,20.727,1.458
8.722,162.302,1018.441,0.644,0.561,150.876,14.49,1.168
12.73,40.766,1005.453,0.802,0.744,72.774,13.39,1.729
6.895,354.543,1019.206,0.94,0.376,2.552,11.819,0.905
8.516,302.003,1005.724,0.578,0.529,296.766,21.893,1.505
5.778,44.879,1000.1,0.26,0.259,50.543,12.374,0.898
5.815,331.503,1015.377,0.335,0.4,332.537,19.906,0.802
12.093,313.163,1011.171,1.112,0.717,342.561,13.293,1.685
13.302,186.782,1009.978,0.264,0.735,177.285,21.239,1.924
12.47,212.859,1010.315,0.297,0.737,202.417,24.299,1.745
9.051,143.641,1015.193,0.351,0.591,193.495,23.561,1.137
2.732,19.714,1005.578,0.377,0.121,71.006,23.217,0.607
5.539,120.671,1020.393,0.543,0.472,147.515,11.754,0.792
7.34,289.027,1019.435,0.908,0.294,280.715,9.768,1.083
9.795,1.668,1011.369,-0.17,0.58,32.836,21.979,1.075
11.152,120.06,1004.632,-0.187,0.495,117.15,15.367,1.465
12.968,143.341,1012.443,0.034,0.555,143.142,16.647,1.671
6.346,193.462,1002.208,0.581,0.386,178.53,8.623,1.282
15.211,331.148,1003.83,0.93,0.757,336.21,13.192,2.22
12.983,124.685,1002.803,0.093,0.703,106.118,8.674,1.791
10.121,124.903,1009.541,0.798,0.592,110.503,25.584,1.497
11.27,265.5,1023.856,1.239,0.441,274.543,12.868,1.494
9.124,162.798,1014.118,0.799,0.399,136.669,19.147,1.288
6.165,80.858,1017.25,1.06,0.407,52.83,8.78,0.974
8.451,162.878,1008.287,0.052,0.463,137.384,21.337,1.172
11.18,50.709,1005.998,0.689,0.704,104.19,14.461,1.636
4.58,63.499,1006.524,0.338,0.342,64.007,25.958,0.946
7.235,179.412,1019.819,1.074,0.52,176.02,25.762,1.034
6.779,150.813,1000.329,0.787,0.497,185.559,14.506,1.335
5.05,329.345,1017.456,0.689,0.332,339.161,26.019,0.794
18.452,130.462,1011.734,0.534,0.969,113.847,27.923,2.478
11.04,209.012,1009.611,0.094,0.559,229.278,24.508,1.487
9.416,227.615,1013.985,0.532,0.471,245.059,24.897,1.287
2.86,4.714,1009.7,0.944,0.327,21.999,12.98,0.836
9.354,238.873,1018.336,1.084,0.532,211.534,19.534,1.312
9.23,64.093,1021.119,-0.364,0.599,91.808,9.345,0.972
5.645,345.985,1008.145,0.214,0.449,347.094,9.898,0.884
8.54,53.519,999.993,-0.175,0.6,40.728,27.978,1.273
9.025,149.265,1011.395,0.6,0.663,139.243,14.533,1.28
12.087,30.726,1016.935,1.302,0.656,359.414,22.964,1.653
12.14,358.875,1004.957,0.058,0.595,328.776,24.133,1.519
5.432,180.79,1012.368,0.455,0.369,201.992,25.16,0.795
9.124,214.339,1013.886,0.838,0.503,215.802,27.953,1.304
12.199,24.148,1013.253,0.741,0.677,340.25,12.83,1.418
9.539,269.986,999.974,0.528,0.594,293.717,8.807,1.727
14.094,75.566,1013.856,0.614,0.802,61.718,16.224,1.902
11.895,323.3,1019.17,0.463,0.624,320.013,10.602,1.409
4.79,73.85,1002.603,0.307,0.286,59.853,8.449,0.887
1,68.648,1005.494,0.502,0.145,35.938,15.209,0.45
12.646,13.158,1019.576,0.577,0.657,41.429,23.675,1.563
1,169.944,1004.245,1.012,0.294,142.524,19.324,0.859
10.724,203.343,1013.044,0.746,0.534,218.011,14.256,1.58
17.131,23.655,1009.857,0.786,0.821,40.52,21.087,2.23
10.629,279.19,1007.539,0.169,0.479,314.975,12.64,1.507
8.009,163.184,1016.624,0.393,0.512,156.456,8.288,1.013
10.457,188.78,1008.789,-0.517,0.597,164.21,23.287,1.551
8.769,158.675,1010.324,-0.008,0.48,139.354,20.475,0.868
10.311,144.275,1006.636,0.945,0.438,156.007,23.246,1.618
15.747,201.471,1010.905,0.961,0.804,219.53,8.779,2.13
7.474,55.886,1002.062,0.094,0.433,42.601,24.742,1.199
16.195,65.494,1008.285,0.235,0.914,57.367,20.391,2.06
12.779,310.243,1018.346,0.944,0.722,28.837,19.268,1.66
6.708,340.602,1002.649,0.127,0.372,1.677,20.492,0.996
5.961,134.391,1010.684,0.55,0.312,159.673,25.289,0.903
5.261,97.468,1006.147,0.912,0.485,123.704,19.739,1.081
7.458,231.84,1016.105,0.632,0.45,223.238,19.619,1.083
11.344,147.144,1003.469,-0.082,0.658,151.186,27.814,1.552
3.248,9.139,1016.557,0.277,0.092,19.88,23.135,0.342
7.558,56.215,1009.355,0.86,0.458,26.825,16.846,1.144
14.682,257.75,1001.618,0.527,0.543,262.278,22.148,2.186
4.67,237.213,1002.009,-0.579,0.332,241.792,15.785,1.008
12.313,9.755,1004.652,0.987,0.738,350.91,12.578,1.718
6.832,79.91,1010.372,-0.495,0.413,101.931,19.937,0.826
3.687,83.187,1006.071,0.524,0.211,87.932,26.564,0.617
11.515,241.881,1013.774,-0.092,0.441,281.879,26.583,1.331
12.291,7.096,1008.693,1.297,0.648,332.588,14.838,1.824
11.158,37.479,1004.462,0.228,0.548,22.221,18.554,1.522
12.122,287.97,1014.25,0.132,0.573,302.141,12.233,1.447
16.732,64.276,1012.966,-0.272,0.909,46.206,27.913,1.929
6.667,234.989,1004.401,0.19,0.41,244.042,27.622,0.978
5.867,85.746,1004.235,0.973,0.356,107.057,20.99,1.265
12.828,35.799,999.569,0.818,0.842,353.994,24.088,2.061
13.609,87.542,1013.975,0.367,0.652,88.883,22.302,1.606
17.305,260.016,1013.4,0.87,0.995,260.436,19.863,2.345
8.917,308.051,1009.303,0.81,0.477,288.261,9.067,1.411
8.37,298.879,1018.626,0.522,0.586,330.221,17.095,1.151
13.217,142.986,1015.753,0.271,0.775,157.887,21.496,1.634
6.486,240.511,1012.626,0.433,0.496,249.997,21.551,0.984
15.171,73.794,1017.845,0.325,0.859,81.944,15.462,1.704
12.6,105.533,1003.841,0.807,0.628,101.386,26.834,1.864
8.433,322.681,1007.43,-0.051,0.565,340.037,11.347,1.122
13.528,4.681,1000.062,0.64,0.72,12.801,18.007,1.838
11.686,30.783,1005.253,0.423,0.59,57.241,21.818,1.635
5.286,74.839,1010.432,0.703,0.304,97.864,21.943,0.705
14.643,9.552,1013.412,0.148,0.8,4.045,20.973,1.842
9.565,65.317,999.271,0.526,0.467,74.546,13.506,1.436
13.019,209.895,1004.839,0.556,0.72,196.588,11.124,1.778
7.787,151.713,1009.402,0.483,0.477,143.77,20.719,1.217
11.906,321.362,1014.092,0.591,0.702,306.188,19.986,1.564
8.967,294.28,1008.156,0.723,0.645,316.052,11.587,1.367
1,123.054,1010.159,0.923,0.153,137.571,22.103,0.631
16.952,93.392,998.709,0.359,0.812,114.151,17.103,2.268
5.293,136.689,1003.778,0.81,0.284,157.738,21.355,1.115
5.37,212.506,1019.499,0.447,0.315,216.938,24.747,0.749
16.233,96.503,1021.406,0.111,0.741,132.821,11.395,1.761
14.937,224.694,1015.577,-0.309,0.745,224.467,8.383,1.713
10.398,147.388,1018.041,0.149,0.548,138.377,23.582,1.23
10.252,198.737,1009.346,1.277,0.749,172.64,20.194,1.78
9.196,157.006,1010.32,0.641,0.549,176.289,21.993,1.43
6.647,106.008,1009.816,1.031,0.396,135.89,24.763,1.076
7.264,341.443,1013.464,0.474,0.469,339.082,24.056,0.985
10.918,274.898,1006.09,0.379,0.386,224.718,27.218,1.554
15.135,50.441,1004.84,0.188,0.793,64.416,18.719,2.032
14.43,312.648,1007.82,0.141,0.814,259.984,17.77,1.8
11.363,175.475,1017.271,0.386,0.63,193.264,16.038,1.442
1,322.039,1002.29,-0.039,0.132,15.761,11.074,0.429
9.362,287.948,1012.072,0.287,0.699,285.613,19.452,1.414
1,153.077,1015.979,0.642,0.237,131.27,13.54,0.376
9.744,8.089,999.499,0.89,0.583,23.886,26.426,1.574
8.565,96.724,1012.022,0.571,0.529,127.295,19.664,1.27
